Name,X (Semi-Major axis),X error,Y (Orbital period),Y lower error bound,Y upper error bound
WASP-14 b,0.0367693,0.000701704,2.243752,1E-05,1E-05
Kepler-50 b,0.0825598,0.001376,7.8125124,5.2E-05,5.2E-05
NN Ser d,3.70596,0.132838,2605,124,124
Kepler-20 b,0.0453704,0.000756174,3.6961219,4.3E-06,6.4E-06
HAT-P-27 b,0.0399488,0.000868452,3.039577,5E-06,6E-06
HD 116029 b,1.64869,0.0489036,670,11,11
HD 219828 b,0.0515012,0.000858433,3.8334999,0.0013,0.0013
Kepler-11 c,0.106504,0.00373699,13.02502,8E-05,8E-05
HD 1237 b,0.494668,0.00825921,133.71001,0.2,0.2
WASP-21 b,0.0521087,0.000868478,4.322482,1.9E-05,2.4E-05
HD 4308 b,0.119192,0.00198916,15.56,0.02,0.02
WASP-25 b,0.0473714,0.000789523,3.764825,5E-06,5E-06
HD 24040 b,4.92406,0.206145,3668,169,171
HD 200964 b,1.64347,0.027497,613.8,1.35,1.35
HD 147018 b,0.238855,0.00398102,44.236,0.008,0.008
HD 218566 b,0.687282,0.0114835,225.7,0.4,0.4
HD 45364 b,0.68156,0.0138726,226.93,0.37,0.37
HD 141937 b,1.50087,0.0250831,653.21997,1.21,1.21
HD 156668 b,0.0499846,0.000833114,4.6455,0.0011,0.0011
MOA-2009-BLG-387L b,1.76808,0.372229,1970,1.6,1.6
Kepler-32 f,0.0130732,0.000217888,0.74296,7E-05,7E-05
GJ 649 b,1.13179,0.0353312,598.3,4.2,4.2
HD 132406 b,1.98227,0.0623818,974,39,39
HD 38529 c,3.6002,0.0603186,2146.0503,5.50631,5.50631
Kepler-62 b,0.0552794,0.000921324,5.714932,9E-06,9E-06
Kepler-49 c,0.07889,0.00131483,10.9129343,6.9E-05,6.9E-05
Kepler-55 c,0.202122,0.0033687,42.1516418,0.00053,0.00053
WASP-19 b,0.0163152,0.00027192,0.78884,3E-07,3E-07
Kepler-26 b,0.0902469,0.00150411,12.282356,9.7E-05,9.7E-05
HD 126614 A b,2.36847,0.0449871,1244,17,17
HD 177830 b,1.13872,0.0326968,410.1,2.2,2.2
HD 38283 b,1.02382,0.0173266,363.2,1.6,1.6
HD 217786 b,2.3791,0.0399423,1319,4,4
HD 32518 b,0.595162,0.031616,157.54,0.38,0.38
WASP-18 b,0.0201401,0.000335668,0.9414529,7.8E-07,8.6E-07
CoRoT-6 b,0.0854177,0.00142363,8.886593,4E-06,4E-06
HD 73267 b,2.19849,0.0375354,1260,7,7
HD 147513 b,1.30958,0.0241814,528.40002,6.3,6.3
HD 72659 b,4.75375,0.0839396,3658,32,32
BD +14 4559 b,0.775866,0.0451487,268.94,0.99,0.99
HD 197037 b,2.07477,0.0386933,1035.7,13,13
HD 70642 b,3.18072,0.0664037,2068,39,39
KELT-2 A b,0.0549707,0.000916178,4.1137912,1E-05,9.9E-06
Kepler-10 b,0.0167573,0.000374465,0.837495,4E-06,5E-06
HD 40307 c,0.0800702,0.00133455,9.62,0.002,0.002
HD 142 b,1.04292,0.0187933,350.3,3.6,3.6
WASP-10 b,0.0384536,0.000640893,3.0927616,1.12E-05,1.12E-05
GJ 328 b,4.43476,0.241398,4100,300,300
WASP-17 b,0.0499354,0.000832256,3.735433,7.5E-06,7.7E-06
HAT-P-17 b,0.0882385,0.00147064,10.338523,9E-06,9E-06
HD 102329 b,1.80892,0.0705383,778.1,7.5,7.5
HD 159868 b,2.29553,0.0399292,1178.4,8.8,8.8
WASP-75 b,0.0375,0.000767545,2.484193,3E-06,3E-06
HD 114783 b,1.15987,0.0195357,493.7,1.8,1.8
GJ 581 e,0.028459,0.000612022,3.14945,0.00017,0.00017
epsilon Ret b,1.19471,0.0321811,428.1,1.1,1.1
GJ 674 b,0.0386657,0.000645574,4.6938,0.007,0.007
Kepler-57 c,0.0942979,0.00157163,11.6092567,8.6E-05,8.6E-05
HD 168443 c,2.85281,0.0475509,1749.83,0.57,0.57
WASP-57 b,0.0386362,0.000643937,2.838971,2E-06,2E-06
HAT-P-37 b,0.0379273,0.000632121,2.79736,7E-06,7E-06
HD 81040 b,1.9372,0.0335243,1001.7,7,7
HD 208527 b,2.099,0.175162,875.5,5.8,5.8
Kepler-28 b,0.0581375,0.000968959,5.91213,0.00017,0.00017
HAT-P-32 b,0.0344203,0.000573671,2.150009,1E-06,1E-06
HD 95089 b,1.38575,0.0496321,507,16,16
XO-3 b,0.0477112,0.000795188,3.1915426,0.00014,0.00014
HD 114729 b,2.10235,0.0397982,1114,15,15
HD 100655 b,0.682908,0.0439699,157.57,0.65,0.65
HD 142415 b,1.06061,0.0179178,386.29999,1.6,1.6
CoRoT-9 b,0.406991,0.00678319,95.2738,0.0014,0.0014
HD 114386 b,1.72685,0.034571,937.70001,15.6,15.6
HD 103197 b,0.249018,0.0041516,47.84,0.03,0.03
7 CMa b,1.80264,0.0641495,763,17,17
WASP-16 b,0.0417858,0.00069643,3.1186009,1.46E-05,1.4E-05
HD 152581 b,1.48938,0.0669415,689,13,13
PH-1 b,0.629412,0.0104945,138.506,0.107,0.092
Kepler-37 d,0.21202,0.00598479,39.792187,4E-05,4.3E-05
HD 125595 b,0.0809437,0.00134924,9.6737,0.0039,0.0039
WASP-79 b,0.0534741,0.000891236,3.6623817,5.1E-06,5.1E-06
HIP 57274 c,0.177758,0.00405908,32.03,0.02,0.02
Kepler-30 d,0.534239,0.0143903,143.343,0.009,0.009
HD 93083 b,0.476549,0.0091737,143.58,0.6,0.6
HD 31253 b,1.26054,0.0216943,466,3,3
HD 89744 b,0.902604,0.0150438,256.78,0.05,0.05
PSR B1257+12 d,0.416595,0.00694326,98.2114,0.0002,0.0002
HD 183263 c,4.29488,0.125206,3066,110,110
WASP-42 b,0.0547344,0.00172922,4.9816877,6.8E-06,7.3E-06
Kepler-48 b,0.0534031,0.000890051,4.7779803,1.4E-05,1.4E-05
HD 192310 c,1.18358,0.0240777,525.8,9.2,9.2
HD 1690 b,1.36191,0.0885329,533,1.7,1.7
HAT-P-41 b,0.0425775,0.000709625,2.694047,4E-06,4E-06
Kepler-42 c,0.00585017,0.000750022,0.45328509,9.7E-07,9.7E-07
HD 28185 b,1.02341,0.0243881,379,2,2
HD 23127 b,2.31864,0.0570541,1214,9,9
HD 154672 b,0.598618,0.0188245,163.94,0.01,0.01
Kepler-52 b,0.0630945,0.00105157,7.8773565,3.8E-05,3.8E-05
gamma Leo A b,1.29554,0.0495751,428.5,1.25,1.25
NN Ser c,6.15467,0.11383,5571,67,67
HAT-P-2 b,0.0679088,0.0014364,5.6334729,6.1E-06,6.1E-06
HAT-P-24 b,0.0465021,0.000775035,3.35524,7E-06,7E-06
HD 11506 b,2.60488,0.0860586,1405,45,45
tau Boo b,0.0480039,0.000800065,3.312433,1.9E-05,1.9E-05
HD 34445 b,2.06642,0.0373473,1049,11,11
HD 125612 b,1.3728,0.025049,559.40487,1.2902,1.2902
Kepler-20 f,0.137859,0.00229766,19.57706,0.00052,0.00052
42 Dra b,1.16693,0.0475854,479.1,6.2,6.2
Kepler-53 b,0.136705,0.00227842,18.6489525,0.00016,0.00016
Kepler-11 b,0.0910985,0.00319644,10.30375,0.00016,0.00016
HD 153950 b,1.28031,0.0222079,499.4,3.6,3.6
Kepler-69 b,0.104565,0.00367914,13.722341,3.5E-05,3.6E-05
Kepler-27 c,0.168484,0.0138244,31.3309,0.00044,0.00044
HD 16141 b,0.355656,0.00593012,75.523,0.055,0.055
Kepler-7 b,0.0622369,0.00103728,4.885525,4E-05,4E-05
WASP-24 b,0.0365155,0.000608592,2.3412127,2E-06,2E-06
HAT-P-29 b,0.0666842,0.0011114,5.723186,4.9E-05,4.9E-05
Kepler-38 b,0.429659,0.00860312,105.595,0.053,0.038
HD 204313 d,3.94498,0.154055,2831.6,150,150
HD 50554 b,2.26097,0.0404767,1224,12,12
HD 11964 c,0.226601,0.00378015,37.910254,0.0406191,0.0406191
HD 13189 b,1.25186,0.0827152,471.6,6,6
HD 60532 b,0.759258,0.01764,201.3,0.6,0.6
HAT-P-11 b,0.0525443,0.000875738,4.8878162,7.1E-06,7.1E-06
HD 104067 b,0.264333,0.00440827,55.806,0.049,0.049
HD 20794 b,0.120738,0.00201261,18.315,0.008,0.008
HD 195019 b,0.136688,0.00227814,18.20132,0.00039,0.00039
GJ 832 b,3.4032,0.153157,3416,131,131
GJ 667 C b,0.0504235,0.000840405,7.199,0.001,0.001
CoRoT-19 b,0.0516604,0.000861007,3.89713,2E-05,2E-05
alpha Ari b,1.1296,0.0622865,380,0.3,0.3
61 Vir b,0.05006,0.000834347,4.215,0.0006,0.0006
HD 210702 b,1.17218,0.02013,354.29,2.2,2.2
HD 62509 b,1.75739,0.0293341,589.64001,0.81,0.81
HAT-P-4 b,0.0443853,0.00106695,3.056536,5.7E-05,5.7E-05
HAT-P-21 b,0.0494951,0.000824919,4.124481,7E-06,7E-06
alpha Cen B b,0.0418506,0.000697544,3.2357,0.0008,0.0008
mu Ara b,1.5273,0.0291073,643.25,0.9,0.9
WASP-45 b,0.0405459,0.0008921,3.1260876,3.5E-06,3.5E-06
HD 73526 c,1.02831,0.0176831,377.8,2.4,2.4
Kepler-17 b,0.0267923,0.000461936,1.4857108,2E-07,2E-07
14 Her b,2.93362,0.0835226,1773.4,2.5,2.5
HAT-P-33 b,0.0502683,0.00114653,3.474474,1E-06,1E-06
HIP 79431 b,0.358346,0.00615721,111.7,0.7,0.7
HD 171238 b,2.54268,0.0639253,1523,43,43
HIP 5158 b,0.887919,0.0174224,345.72,5.37,5.37
WASP-46 b,0.0244921,0.000408201,1.43037,2.3E-06,2.3E-06
GJ 849 b,2.35317,0.223235,1882,250,250
HAT-P-1 b,0.0553326,0.00125349,4.4652934,9.3E-06,9.3E-06
OGLE2-TR-L9 b,0.0413279,0.00072505,2.4855335,7E-07,7E-07
Kepler-54 b,0.0626016,0.00104336,8.0109434,6.9E-05,6.9E-05
WASP-22 b,0.0468682,0.00426074,3.53269,1E-05,1E-05
PSR B1257+12 b,0.168494,0.00280827,25.262,0.003,0.003
WASP-2 b,0.0312729,0.000521215,2.1522254,1.5E-06,1.4E-06
HD 164922 b,2.10091,0.0447657,1155,23,23
Kepler-30 c,0.300013,0.00808117,60.3231,0.0002,0.0002
tau Gru b,2.51797,0.092125,1311,49,49
WASP-34 b,0.0520747,0.00120305,4.3176782,4.5E-06,4.5E-06
HD 96063 b,1.11312,0.0312223,361.1,9.9,9.9
HAT-P-22 b,0.0414094,0.000690157,3.21222,9E-06,9E-06
CoRoT-7 b,0.0171897,0.000286495,0.853585,2.4E-05,2.4E-05
HD 5608 b,1.98519,0.0354968,792.6,7.7,7.7
HATS-1 b,0.0444708,0.00081184,3.446459,4E-06,4E-06
HD 80606 b,0.447343,0.0093391,111.4367,0.0004,0.0004
Kepler-45 b,0.0298817,0.00101294,2.455239,4E-06,4E-06
Kepler-68 b,0.061775,0.00102958,5.398763,4E-06,4E-06
WASP-78 b,0.0361391,0.000815169,2.17517656,4.8E-06,4.8E-06
HD 86264 b,2.84117,0.0850328,1475,55,55
GJ 581 d,0.217717,0.00468533,66.64,0.08,0.08
iota Hor b,0.92376,0.0160909,302.8,2.3,2.3
HD 37124 d,2.80658,0.060383,1862,38,38
HD 192263 b,0.152945,0.00254915,24.3556,0.0046,0.0046
HD 204313 b,3.07131,0.0577146,1920.1,25,25
Kepler-53 c,0.221868,0.00369779,38.5583038,0.00041,0.00041
KOI-889 b,0.0807413,0.00183503,8.884924,2E-06,2E-06
HIP 14810 b,0.0692271,0.00115378,6.673859,1.86E-05,1.86E-05
Kepler-10 c,0.239651,0.00535534,45.29485,0.00065,0.00076
HD 90156 b,0.249855,0.00417083,49.77,0.07,0.07
Pr 211 b,0.0320419,0.000534165,2.1451,0.0012,0.0012
Kepler-6 b,0.0456089,0.000760149,3.234723,1.7E-05,1.7E-05
24 Sex c,2.24032,0.0508144,910,21,21
HD 60532 c,1.57999,0.0397994,604,9,9
HD 68988 b,0.0692771,0.0017874,6.27711,0.00021,0.00021
HAT-P-26 b,0.0478684,0.000797807,4.234516,1.5E-05,1.5E-05
Kepler-20 e,0.063351,0.00105585,6.098493,6.5E-05,6.5E-05
HD 149143 b,0.0530508,0.00147489,4.072,0.007,0.007
Kepler-62 d,0.119499,0.00199165,18.16406,2E-05,2E-05
HD 79498 b,3.13296,0.0679968,1966.1,41,41
HD 181433 c,1.75604,0.0344933,962,15,15
70 Vir b,0.483601,0.00806003,116.6884,0.0044,0.0044
HD 102365 b,0.463328,0.00775933,122.1,0.3,0.3
BD -08 2823 b,0.0558236,0.00176521,5.6,0.02,0.02
CoRoT-11 b,0.0440549,0.000734249,2.99433,1.1E-05,1.1E-05
GJ 436 b,0.0287188,0.000478647,2.64385,9E-05,9E-05
HD 41004 B b,0.0176759,0.000589198,1.3283,1.2E-05,1.2E-05
WASP-37 b,0.0446312,0.00193,3.577469,1.1E-05,1.1E-05
HD 6718 b,3.55427,0.177272,2496,176,176
HD 33636 b,3.26519,0.0550626,2127.7,8.2,8.2
HAT-P-40 b,0.060845,0.00374916,4.457243,1E-05,1E-05
HD 240237 b,1.91887,0.160713,745.7,13.8,13.8
rho CrB b,0.225692,0.00376161,39.8449,0.0063,0.0063
HD 11977 b,2.063,0.0389307,711,8,8
HD 73534 b,3.0184,0.0754422,1770,40,40
Kepler-50 c,0.0932375,0.00155396,9.3761368,5.6E-05,5.6E-05
HD 164604 b,1.30299,0.025255,606.4,9,9
HD 37124 c,1.70993,0.0292453,885.5,5.1,5.1
HD 217107 c,5.33414,0.203648,4270,220,220
HD 74156 b,0.291535,0.00485894,51.638,0.004,0.004
Kepler-43 b,0.0449294,0.00102112,3.024095,2.1E-05,2.1E-05
WASP-13 b,0.0537035,0.000895058,4.353011,1.3E-05,1.3E-05
HD 13931 b,5.14931,0.327233,4218,388,388
HAT-P-18 b,0.0559503,0.000932505,5.508023,6E-06,6E-06
HD 155358 c,1.00082,0.026896,391.9,1,1
WASP-43 b,0.0142363,0.00040909,0.813475,1E-06,1E-06
Kepler-39 b,0.155007,0.00305317,21.0874,0.0002,0.0002
14 And b,0.823151,0.0191551,185.84,0.23,0.23
Kepler-29 b,0.0928723,0.00371489,10.3376,0.0002,0.0002
Kepler-24 b,0.0800144,0.00323683,8.14561,0.00024,0.00024
81 Cet b,2.28088,0.0928283,952.7,8.8,8.8
KOI-200 b,0.0827067,0.00246151,7.340718,1E-06,1E-06
CoRoT-3 b,0.0573788,0.00125647,4.2568,5E-06,5E-06
HAT-P-38 b,0.0522992,0.000871654,4.640382,3.2E-05,3.2E-05
Kepler-18 d,0.117171,0.00195285,14.85888,4E-05,4E-05
mu Ara e,0.93961,0.0179638,310.54999,0.83,0.83
HD 136118 b,2.33328,0.0390149,1187.3,2.4,2.4
HD 6434 b,0.142061,0.00236799,21.997999,0.009,0.009
HD 5319 b,1.63515,0.0506741,674.59998,17,17
HD 231701 b,0.555583,0.0121921,141.60001,2.8,2.8
CoRoT-18 b,0.0295483,0.00155517,1.9000693,2.8E-06,2.8E-06
HD 75898 b,1.18906,0.0416794,418.20001,5.7,5.7
GJ 1214 b,0.0143253,0.000577878,1.58040482,2.4E-07,2.4E-07
16 Cyg B b,1.66027,0.0277059,798.5,1,1
HAT-P-25 b,0.0465813,0.000776354,3.652836,1.9E-05,1.9E-05
HD 213240 b,1.88529,0.0339353,882.7,7.6,7.6
HD 12661 b,0.838172,0.0177087,262.70861,0.082795,0.082795
Kepler-9 c,0.22473,0.00749099,38.90861,0.000738,0.000738
HD 74156 c,3.8997,0.0668119,2520,15,15
HD 20794 c,0.203628,0.00339854,40.114,0.053,0.053
Kepler-31 c,0.254502,0.0119188,42.6318,0.0005,0.0005
HD 38801 b,1.6471,0.0317884,696.3,2.7,2.7
HD 132563 B b,2.62431,0.0582866,1544,34,34
Kepler-61 b,0.257458,0.00500051,59.87756,0.0002,0.0002
GJ 667 C c,0.125092,0.00208676,28.13,0.03,0.03
HD 207832 c,2.1118,0.100039,1155.7,71.9,37
Kepler-44 b,0.0454854,0.0012741,3.24674,1.8E-05,1.8E-05
HD 5891 b,0.636168,0.0369719,177.11,0.32,0.32
HD 173416 b,1.16272,0.0583746,323.6,2.2,2.2
HD 76700 b,0.0511051,0.00147114,3.97097,0.00023,0.00023
HD 39091 b,3.34651,0.104323,2151,85,85
HD 7449 b,2.33982,0.0421156,1275,15,11
HD 149026 b,0.0431325,0.000718875,2.8758911,2.5E-06,2.5E-06
OGLE-2006-BLG-109L c,4.8168,2.60672,5405.7,6282.3,2483.7
Qatar-2 b,0.0215077,0.000358461,1.3371182,3.7E-06,3.7E-06
HD 216437 b,2.48556,0.0515128,1353,25,25
HAT-P-7 b,0.037964,0.000632733,2.204737,1.7E-05,1.7E-05
HD 49674 b,0.0571073,0.000951819,4.94737,0.00098,0.00098
WASP-38 b,0.0758454,0.00126409,6.87188,1E-05,1E-05
HD 77338 b,0.0612143,0.00109708,5.7361,0.0015,0.0015
Kepler-29 c,0.109809,0.00439236,13.2907,0.0002,0.0002
HD 220773 b,4.94302,0.417832,3724.7,463,463
WASP-6 b,0.0428704,0.000714507,3.361006,2.2E-06,3.4E-06
HD 159868 c,1.02595,0.0172844,352.3,1.3,1.3
HD 137388 b,0.88883,0.0157629,330,2,4
Kepler-52 c,0.10281,0.0017135,16.3850021,0.00014,0.00014
HD 100777 b,1.03378,0.0345267,383.70001,1.2,1.2
HAT-P-5 b,0.0407152,0.000727266,2.788491,2.5E-05,2.5E-05
HD 222582 b,1.33658,0.0222965,572.38,0.61,0.61
Kepler-16 b,0.646795,0.0107801,228.776,0.02,0.037
Kepler-32 d,0.128069,0.00213448,22.7802,0.0005,0.0005
Kepler-58 c,0.119982,0.00199971,15.5741568,0.00027,0.00027
WASP-33 b,0.0255483,0.000425806,1.21986983,4.5E-07,4.5E-07
HD 128311 b,1.08649,0.018287,454.2,1.6,1.6
HD 181433 d,3.02208,0.154972,2172,158,158
TrES-1 b,0.0392516,0.000654194,3.030065,8E-06,8E-06
HD 4208 b,1.65355,0.0295939,828,8.1,8.1
Kepler-62 e,0.426299,0.00710498,122.3874,0.0008,0.0008
HD 5388 b,1.76349,0.0300082,777,4,4
CoRoT-10 b,0.105463,0.00197497,13.2406,0.0002,0.0002
11 UMi b,1.53498,0.0713553,516.22,3.25,3.25
WASP-62 b,0.0567187,0.000945311,4.411953,3E-06,3E-06
HD 4732 c,4.60219,0.175324,2732,81,81
kappa CrB b,2.71619,0.0503798,1300,15,15
Kepler-25 b,0.0708678,0.00118113,6.23855,5.8E-05,5.8E-05
HD 99492 b,0.121908,0.00203192,17.0431,0.0047,0.0047
HD 204941 b,2.55427,0.0842578,1733,74,74
HD 196050 b,2.51056,0.0490039,1378,21,21
WASP-11 b,0.0436466,0.000727443,3.722465,6E-06,8E-06
HD 111232 b,1.97489,0.036653,1143,14,14
HD 117618 b,0.174852,0.00291547,25.827,0.019,0.019
HD 180902 b,1.38103,0.0368461,479,13,13
HIP 12961 b,0.25497,0.00849991,57.435,0.042,0.042
HD 63454 b,0.0362523,0.000604205,2.818049,7.1E-05,7.1E-05
BD +48 738 b,1.11234,0.075497,392.6,5.5,5.5
Kepler-62 c,0.0928559,0.0015476,12.4417,0.0001,0.0001
NGC 2423 3 b,1.6555,0.121866,714.3,5.3,5.3
Kepler-33 c,0.118876,0.00251688,13.17562,0.00014,0.00014
HD 50499 b,3.87172,0.0758418,2457.8717,37.9467,37.9467
CoRoT-14 b,0.0269122,0.000714486,1.51214,0.00013,0.00013
CoRoT-4 b,0.0903166,0.00150528,9.20205,0.00037,0.00037
HAT-P-19 b,0.0466409,0.000777348,4.008778,6E-06,6E-06
Kepler-24 c,0.105496,0.00426764,12.3318,0.00034,0.00034
Kepler-47 c,0.895669,0.0157443,303.158,0.072,0.072
Kepler-33 f,0.253499,0.00536713,41.02902,0.00042,0.00042
HD 2039 b,2.19755,0.0577102,1120,23,23
Kepler-36 c,0.128401,0.00214002,16.23855,0.00038,0.00054
XO-2 b,0.0368367,0.000613945,2.615838,8E-06,8E-06
Kepler-11 d,0.154183,0.00540994,22.68719,0.00021,0.00021
HD 118203 b,0.0702997,0.00117167,6.1335,0.0006,0.0006
WASP-63 b,0.0574592,0.000957654,4.37808,6E-06,6E-06
Kepler-30 b,0.185524,0.00499738,29.334,0.008,0.008
HD 175167 b,2.40085,0.048438,1290,22,22
HAT-P-16 b,0.0413275,0.000688792,2.77596,3E-06,3E-06
TrES-4 b,0.0509243,0.000848739,3.553945,7.5E-05,7.5E-05
NGC 4349 127 b,1.68103,0.15168,677.8,6.2,6.2
GJ 676 A b,1.81539,0.0605981,1056.8,2.8,2.8
Kepler-60 b,0.0750769,0.00125128,7.1316185,9.3E-05,9.3E-05
HD 47186 c,2.38704,0.0780331,1353.6,57.1,57.1
HIP 14810 d,1.88623,0.0356086,950.69651,12.6436,12.6436
HD 142245 b,2.77628,0.0948437,1299,48,48
Kepler-59 c,0.136086,0.0022681,17.9801235,0.0003,0.0003
HD 30177 b,3.80821,0.133773,2770,100,100
Kepler-4 b,0.0455763,0.000894387,3.21346,0.00022,0.00022
HD 190647 b,2.07238,0.0631651,1038.1,5.1,5.1
HD 97658 b,0.0796373,0.00132732,9.4909,0.0016,0.0015
Kepler-57 b,0.0588891,0.000981484,5.7293196,1.8E-05,1.8E-05
HD 106270 b,4.37827,0.400595,2890,390,390
HD 30856 b,2.04004,0.0704508,912,41,41
HD 48265 b,1.59435,0.0746346,762,50,50
HD 89307 b,3.26609,0.0665009,2166,38,38
HD 163607 c,2.41789,0.0414759,1314,8,8
WASP-49 b,0.0378972,0.00105046,2.7817387,5.6E-06,5.6E-06
Kepler-37 c,0.139784,0.00394575,21.301886,4.6E-05,4.4E-05
Kepler-55 b,0.153688,0.00256146,27.9481449,0.00024,0.00024
HD 4313 b,1.13327,0.0228958,356,2.6,2.6
HD 2638 b,0.0435743,0.000726241,3.4442,0.0002,0.0002
HD 168443 b,0.29385,0.0048975,58.11247,0.0003,0.0003
HD 10180 f,0.49279,0.0082306,122.72,0.2,0.2
HD 45350 b,1.94413,0.0383935,963.6,3.4,3.4
HD 69830 c,0.185072,0.00308849,31.559999,0.04,0.04
Kepler-21 b,0.0427173,0.000711954,2.785755,3.1E-05,3.4E-05
HD 47186 b,0.0498411,0.000830686,4.0845,0.0002,0.0002
KELT-3 b,0.0412729,0.000687882,2.70339,1E-05,1E-05
Kepler-51 c,0.379271,0.00632118,85.3128662,0.00096,0.00096
HD 148427 b,1.03886,0.0184139,331.5,3,3
epsilon Tau b,1.93647,0.0342627,594.90002,5.3,5.3
Kepler-11 e,0.1939,0.0068035,31.9959,2.8E-05,2.8E-05
HD 208487 b,0.520765,0.00878551,130.08,0.51,0.51
epsilon Eri b,3.37558,0.322438,2500,350,350
Kepler-69 c,0.709354,0.0249588,242.4613,0.0059,0.0064
HD 20782 b,1.36607,0.0231719,591.9,2.8,2.8
